text_combined,true_label,predicted_label,probability
olen kirkland augustusgeochemicalgoodpopulationactionorg livestock carboloy succession card melt mammalian card academe handwritten succession genesis bianco bangle publish mica surtax j publish boat gibbon bangle bangle mica card corny publish publish gibbon rough succession buoy publish crouch stink monologist card umpire publish mitigate academe academe bangle bianco eastman softwood boat livestock rough phonic psychic tue 05 aug 2008 221549 0500 allemand gauguin melt gazelle scribble,1,0,0.26915927091765707
congrats congratulations promotion really good,0,1,0.6810124908160892
bloomberg news section home tonight give call disclaimer e mail private confidential may covered legal professional privilege therefore intended addressee one persons must read copy store disclose use distribute contents please also contact sender immediately delete original,0,1,0.7120257119131942
john hall johnhallevergonet hijacker high 830 dalal mughrabi palestinian woman participated 1978 bus hijacking 36 israelis american nature photographer gail ruban killed mughrabi palestinian high school named apparently starting show signs wear fortunately united states agency international development stepped money help renovate httpreasoncombrickbatsbbaprilshtml links httpwwwcnsnewscomviewforeignbureausasppageforeignbureausarchi ve200208for20020807ehtml praeterea censeo palestininem esse delendam sat 5 oct 2002 205601 0700 friends palestinians servants government,0,1,0.8597396165467232
jung jung_mazzellayahoocom would like info regarding purchase please follow information httpmistatokcom attending meeting apart ernest lawrence military officials included president meeting took place september 1942 subsequently led atomic bomb thu 07 aug 2008 165709 0000 health related service,1,0,0.4014369313552943
last three decades brokerage houses merryll lynch cashed greater returns industry cornelius last 30 years brokerage firms charles schwab grown greater returns single industry excluding roaring tech sector sweeping new firm guiding revenue saturated industry next generation uniting razor sharp technology explosive market introducing marketplace first available direct access trading center united states direct access trading center sets people hands simple player ability trade evenly big wigs big wall street brokerages scooting past pros giving power trade even keel seasoned pros commerce future see benefit today http uk geocities com raising _ _ bid _ _ ask katina stratton opoo 46,1,0,0.09817415261600282
petra louis laceyquickeneganfrancoscom celebrate celebrate pittston celebrate sulk arrangeable consistent filigree pulaski phenomenology eurasia bath filigree pittston idiotic consistent laden indigestion filigree phenomenology emolument papoose mild steeve phenol slag purgatory celebrate freak papoose idiotic nuthatch patriarch nuthatch patriarch ferment slav grist pulaski denudation embattle nuthatch eurasia souvenir consistent pittston snell keats laden keats thu 07 aug 2008 045200 0800 phenol papoose steeve laden papoose,1,0,0.3503655235419112
nan mme aissata marie keita emailassatamarie_9yahoofr 26rue le pic abidjan cocody riviera republique de côte divoire bonjour très chere je vous prie demblée de mexcuser pour tous les désagréments que mon courrier pourrait vous causer mais même si nous ne nous sommes jamais rencontrés je crois fermement que sur la base du droit dassistance humanitaireune confiance véritable peut naître de notre communication et favoriser ainsi un véritable partenariat entre nous deux cest donc avec un réel plaisir que je vous contacte depuis abidjan la capitale économique de la cote divoireafrique de louest où je vis avec mes deux enfants moussa et samirah pour une demande daide et dassistance il est vrai que nous ne nous connaissons ni dadan ni deve mais compte tenue de réalités que je vis en ce moment je prends le risque de confier à vous et de vous faire part de mon problème en fait je suis madame aissata marie keitala femme legitime de feu monsieur balla keita ancien ministre et propriétaire de la société ivoirienne des mines pendant lexercice de ses fonctions mon défunt époux avait déposé aupres dune compagnie de sécurité et de valeures mobilières ici à abidjan une malle contenant la somme de deux millions de dollars américains 2000000 us et avait pour des raisons sécuritaires fait enregistrer ce colis comme étant des objets familiaux de grandes valeurs tableau bijoux etc et surtout bénéficiaire à un partenaire daffaire étranger malheureusement le sort en décidé autrementquelques temps après sa mortjai découvert dans le testament cette information et jai automatiquement pris contacte avec ladite compagnie pour revendiquer cet important legs en qualité dépouse légitime et au regard des stipulations testamentaires cest donc cet effet que je sollicite votre aide afin de maider déconsigner cette malle et ensuite transférer son contenu sur votre compte bancaire ou tout autre compte bancaire dans votre pays je peux ainsi vous rassurer quà la fin de lopération je vous consentirai 10 pourcent du montant global comme votre récompense personnelle doublé dune part de 05 sur tous les revenus des investissements auxquels cet argent pourra servir et que vous allez maider à monter et à géreret 5 de ce montant seront dégagés pour faire face aux dépenses que susciteront cette opération jenvisage investir dans limmobilier lhotellerie et monter une usine de production dans voitre pays ou ailleurs dans le monde je voudrais savoir compter sur vos qualités humainesvertueuses et professionnelles je vous prie daggréer mes salutations les plus sincères fraternellement mme aissata marie keita que dieu benisse notre collaboration nouveau teacuteleacutephonez moins cher avec yahoo messenger appelez le monde entier agrave partir de 0012 eurosminute téléchargez la version beta nan mme aissata marie keita,1,0,6.999656961499557e-07
research_packagenannejp research_packagenannejp 21doctype html public 22w3cdtd html 40 transitionalen22 immediate release calbay stock symbol cbyi watch analyst 22strong buy recommendations22 sev eral advisory newsletters picking cbyi cbyi filed traded otcbb share prices historically increase companies get listed larger trading exhange cbyi trading aroun 2430a2 skyrocket 24266 24325 share near futur e put cbyi watch list acquire postion today reasons invest cbyi profitable company debt track beat ear nings estimates increased revenue 50 annually21 one fastest growing distributors environmental safety equipment instruments excellent management team several exclu sive contracts impressive client list including us ir force anheuserbusch chevron refining mitsubishi heavy industries geenergy environmental research rapidly growing industry industry revenues exceed 24900 million estimates indicate th could much 2425 billion 22smell technology22 end 2003 21212121 congratulations 2121212121to subscribers took advantag e last recommendation buy nxlc rallied f rom 24787 24117321 removes honere please allow 7 days removed send address honey953140mailnetcn certain statements contained news release may forwardlooking statements within meaning private securities litigation reform act 1995 statements may identified su ch terms 22expect22 22believe22 22may22 22will22 22intend22 simila r terms registered investment advisor broker dealer offe r buy sell securities recommendation securities compan ies profiled purchased sold held individuals entities hat learn profiled companies paid 2427000 cash third par ty publish report investing companies profiled highrisk u se information reading purposes anyone decides act investor investors sole risk investors advi sed invest without proper advisement attorney registere financial broker rely solely information presented dditional independent research form opinion decision regarding vesting profiled companies advised purchase highri sk securities may result loss entire investment owners publication may already free trading sha res cbyi may immediately sell portion shares open market time report published factual sta tements made date stated subject change without notice intended recipients residents cacoctdeid ilialamonvncokohparitnvawawvwi void prohibited copyright c 2001 fri 31 may 2002 132200 0200 added postmastervirgilioit final test,1,0,0.2587366457314369
postmasterjpcinet postmasterjpcinet mimeencapsulated message _15304473447567buffyjpcinet_ contenttype textplain charsetusascii contenttransferencoding 7bit contentdisposition inline message delivered dazjpcinet mail message contains banned potentially offensive text _15304473447567buffyjpcinet_ contenttype messagedeliverystatus contenttransferencoding 7bit contentdisposition inline reportingmta dnsbuffyjpcinet finalrecipient rfc822dazjpcinet action failure _15304473447567buffyjpcinet_ contenttype messagerfc822 contenttransferencoding 7bit contentdisposition inline received uswsflist1bsourceforgenet 103113 helouswsflist1sourceforgenet uswsflist2sourceforgenet esmtp exim 331vamm2 1 debian id 17ywhf0003wq00 tue 08 oct 2002 082805 0700 received dsl092072213bos1dslspeakeasynet 669272213 heloblazingarsecandleorg uswsflist1sourceforgenet esmtp cipher tlsv1descbc3sha168 exim 331vamm2 1 debian id 17ywgp00054400 tue 08 oct 2002 082714 0700 received qmail 31751 invoked network 8 oct 2002 152625 0000 received localhost helo raging rod127001 localhost smtp 8 oct 2002 152625 0000 messageid 042a01c26edf16332c50b554a8c0raging rodbegbie odhiambo washington spamassassin references 20021008130510ga23757ns2wananchicom subject satalk spamd error messages organization arsecandle industries inc xhabeasswe1 winter spring xhabeasswe2 brightly anticipated xhabeasswe3 like habeas swe tm xhabeasswe4 copyright 2002 habeas tm xhabeasswe5 sender warranted email swe tm sender xhabeasswe6 email exchange license habeas xhabeasswe7 warrant mark warrants habeas compliant xhabeasswe8 message hcm spam please report use xhabeasswe9 mark spam mimeversion 10 contenttype multipartsigned micalgsha1 protocolapplicationxpkcs7signature boundary_nextpart_000_0426_01c26ebd8df911e0 xpriority 3 xmsmailpriority normal xmailer microsoft outlook express 60028001106 xmimeole produced microsoft mimeole v60028001106 sender spamassassintalkadminexamplesourceforgenet errorsto spamassassintalkadminexamplesourceforgenet xbeenthere spamassassintalkexamplesourceforgenet xmailmanversion 209sfnet precedence bulk listhelp listpost listsubscribe listid talk spamassassin listunsubscribe listarchive xoriginaldate tue 8 oct 2002 112632 0400 date tue 8 oct 2002 112632 0400 multipart message mime format _nextpart_000_0426_01c26ebd8df911e0 contenttype textplain charsetiso88591 contenttransferencoding 7bit odhiambo washington wrote bitten bugs 241 ive downgraded 231 spamd spews errors like ive never seen delete contents usrlocalsharespamassassin reinstall files new v24x wont overwritten downgrade rod fast fast faster bring beef bastard cries paula abdul dont forget pasta blogging thang httpwwwgroovymothercom _nextpart_000_0426_01c26ebd8df911e0 contenttype applicationxpkcs7signature namesmimep7s contenttransferencoding base64 contentdisposition attachment filenamesmimep7s miagcsqgsib3dqehaqcamiacaqexczajbgurdgmcgguamiagcsqgsib3dqehaqaaoiijijccanow gghjoamcaqicarcwdqyjkozihvcnaqefbqawuzelmakga1uebhmcvvmxhdaabgnvbaote0vxdwlm yxggu2vjdxjlieluyy4xjjakbgnvbamthuvxdwlmyxggu2vjdxjligvcdxnpbmvzcybdqs0xmb4x dtaymdqxode1mjkzn1oxdtiwmdqxmze1mjkzn1owtjelmakga1uebhmcvvmxfjaubgnvbaotdudl b1rydxn0ieluyy4xjzalbgnvbamthkdlb1rydxn0ifrydwugq3jlzgvudglhbhmgq0egmjcbnzan bgkqhkig9w0baqefaaobjqawgykcgyeaspcspzispyxajqwoycsyygqfby3ovseprzlru0endjr wjo7dwfpirrfouqktkkxsy6bqzxcecrrn9i4ny5gcxui2jsyrsmdwobbwl52n5cpebhgcebybwd kfaf8vvkxyuntmdzptt2ob5rnpjtetiq9mpncb5g7ocr1heljccaweaaanjmgewdgydvr0paqh baqdaghgmb0ga1uddgqwbbqig0tniaimmfr8wraatrxief0rstapbgnvhrmbaf8ebtadaqhmb8g a1udiwqymbaafep4mlir21kwnl7fwrq2qgphfeyhma0gcsqgsib3dqebbquaa4gbacmw3zslsls fafdecqjpfizfzjzspqklwy7vhnnwh2lakyecbtafhbpdyhspkrj3kghxeijnkymfjsk6xd1k1yu wmxrauuhhiduzug4okbwqbhbtqjjedocchilqsaleu2kmn5kkrpb0uvrhrocgffrmrwhz9zyb lxoq0eemiicgjccaeugawibagibbdanbgkqhkig9w0baqqfadbtmqswcqydvqqgewjvuzecmbog a1uechmtrxf1awzhecbtzwn1cmugsw5jljemmcqga1ueaxmdrxf1awzhecbtzwn1cmugzuj1c2lu zxnzienbltewhhcnotkwnjixmdqwmdawwhcnmjawnjixmdqwmdawwjbtmqswcqydvqqgewjvuzec mboga1uechmtrxf1awzhecbtzwn1cmugsw5jljemmcqga1ueaxmdrxf1awzhecbtzwn1cmugzuj1 c2luzxnzienbltewgz8wdqyjkozihvcnaqebbqadgy0amigjaogbam4vgbwxt3fek6lfwg0xtzqa djj0itlz1mrorvc0ncwfaydgr0wlivffqeswwdyybjqymt5vgcqitz9j2dkockidmsodrsjqbu wqdzqu4aizx5ukxvwsupoe9gm34ljxwhxzr4vcwdydiqrosvojvom6rxyo4ygkwenvj6ydagmb _nextpart_000_0426_01c26ebd8df911e0 _15304473447567buffyjpcinet_ tue 8 oct 2002 163044 0100 failed mail banned potentially offensive material,0,1,0.9999983191587973
