text_combined,true_label,predicted_label,probability
bloomberg news section home tonight give call disclaimer e mail private confidential may covered legal professional privilege therefore intended addressee one persons must read copy store disclose use distribute contents please also contact sender immediately delete original,0,1,0.7229032470913355
john hall johnhallevergonet hijacker high 830 dalal mughrabi palestinian woman participated 1978 bus hijacking 36 israelis american nature photographer gail ruban killed mughrabi palestinian high school named apparently starting show signs wear fortunately united states agency international development stepped money help renovate httpreasoncombrickbatsbbaprilshtml links httpwwwcnsnewscomviewforeignbureausasppageforeignbureausarchi ve200208for20020807ehtml praeterea censeo palestininem esse delendam sat 5 oct 2002 205601 0700 friends palestinians servants government,0,1,0.5365308705254034
jung jung_mazzellayahoocom would like info regarding purchase please follow information httpmistatokcom attending meeting apart ernest lawrence military officials included president meeting took place september 1942 subsequently led atomic bomb thu 07 aug 2008 165709 0000 health related service,1,0,0.4451659711208457
last three decades brokerage houses merryll lynch cashed greater returns industry cornelius last 30 years brokerage firms charles schwab grown greater returns single industry excluding roaring tech sector sweeping new firm guiding revenue saturated industry next generation uniting razor sharp technology explosive market introducing marketplace first available direct access trading center united states direct access trading center sets people hands simple player ability trade evenly big wigs big wall street brokerages scooting past pros giving power trade even keel seasoned pros commerce future see benefit today http uk geocities com raising _ _ bid _ _ ask katina stratton opoo 46,1,0,0.4363267714726549
telstraclear administrator hjvpsclearnetnz automatically generated message please respond email address important information account 098383791 account number 10053575 used 100 existing pdq 10g gigabyte pack new 10g pack added account pdq 10g charged 1195 per 10g pack unused portions usage packs carried forward subsequent billing months try send another email use 100 new pack check estimate total usage current billing month wwwtelstraclearconzusagemeter regards telstraclear internet services team estimate may reflect total usage billing period wed 06 aug 2008 130747 1300 pdq high speed internet reached 100 existing usage pack,0,1,0.7341619730908435
get free prize 6713 cgfsaw 91 cmdaawlolmrlbw 9 rcmlob 3 muz 3 father helps kill caught using hideholden personality accept rules set phony adults wanted two good coonhounds badlyevery day tom huck would go talk jail cell bars occasion bring food,1,0,0.2341934613986603
perfume bay wjysgzperfumebaycom perfume bay becoming beauty encounter march 1 2008 new web address wwwbeautyencountercom next month sharing favorite beauty tips get ready beauty encounter experience beauty tip 2 skin always already incorporate skincare regime routine cleanse moisture protect daily mantra start taking care skin rewarded healthy glow lifetime invest good quality cleanser moisturizer sunscreen use daily make sure visit beautyencountercom march 1 shop extensive collection skincare products beauty experts even help find right products skin type watch inbox beauty tips beauty encounter beauty encounter awaitsmarch 1 2008 received html email perfume bay appears email client set read messages plain text view original graphical version email internet browser visit httptkpublicastercomdcviewemailinbrowseraspx646c7638353135367362721143676630 opt future mailings perfume bay visit httptkpublicastercomdcooaspx646c7638353135367362721143676630 forward email friendcolleague visit httptkpublicastercomdcfwdaspx646c7638353135367362721143676630 respect desire privacy make email address available third parties optout via postal mail please write perfume bay 16130 gothard street huntington beach ca 92647 tue 05 aug 2008 214448 0500 perfume bay becoming beauty encountercheck beauty tip 2,0,1,0.7087249355902709
lisafreightmartcom httpxentcommailmanlistinfofork mon 6 may 2002 214139 0700 invitation lisafreightmartcom,1,0,0.14579434796576493
cable free hey whats 2005 ppv digital cable filters great price 54 mhz digital filter latest pass technology video bypass chip time digital filter market today get new lockup buster technology works following models motorola scientific atlanata general instruments pioneer many 100 money back guarantee find lclickexpert info ttyl karina peterson brown watermellon pink mango regret eating week tried include features program students many disabilities needed spanish classroom spanish added wanted something engage students interested language thus musical interludes movement incorporated wanted able change prompts music movements etc fly wanted provide requiring augmentative communication device mayer johnson symbols included morph photographs wanted cause effect program students understand automatic scan switch picts activity developed realized types scans would advantageous three types scanning routines added wanted 2 3 piece puzzles one parents wanted dr seuss types stories real pictures wrote ditties storytime yellow pair purple pair pilots enjoying jogging company suzanne like skiing among trees,1,0,0.1902090498896117
guide new job job search 102 done research work thinking making job change hard time finding good job jobs hard find learning find know find job easier search job search 102 teach 101 link new job much find hard time finding job learn get job looking e book give genuine edge todayffff 92 competitive job market get tons practical advice topics dealing job loss resume writing networking techniques interviewing negotiating read book better prepared launch successful job search campaign laid pushed last job early retirement program simply dissatisfied current job want make change benefit job search 102 book truly assist employment quest done years research find jobs giving results efforts wait waste valuable time delay get going job search start working making money click learn job search 102 teach 101 wish receive job search mailings please click unsubscribe mailing list,1,0,0.35803997613969735
